Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Unemployement_rate (%),Median,P25th,P75th
GENERAL AGRICULTURE,Agriculture & Natural Resources,128148,90245,74078,2423,0.026147106,3%,50000,34000,80000
ANIMAL SCIENCES,Agriculture & Natural Resources,103549,81177,64937,3619,0.0426789,4%,46000,30000,72000
AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,95326,76865,64240,2266,0.028636059,3%,54000,36000,80000
NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279,5%,52000,37100,75000
PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,79409,63043,51077,2070,0.031790887,3%,50000,35000,75000
FORESTRY,Agriculture & Natural Resources,69447,48228,39613,2144,0.042563329,4%,58000,40500,80000
AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,33955,26321,22810,821,0.030248324,3%,63000,40000,98000
FOOD SCIENCE,Agriculture & Natural Resources,24280,17281,12722,894,0.049188446,5%,62000,38500,90000
MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,8549,6392,5074,261,0.039230422,4%,52000,35000,75000
SOIL SCIENCE,Agriculture & Natural Resources,6586,4926,4042,264,0.050867052,5%,63000,39400,88000
FINE ARTS,Arts,571961,386961,256747,29912,0.071753268,7%,45000,30000,70000
COMMERCIAL ART AND GRAPHIC DESIGN,Arts,504657,379980,266671,30330,0.073919719,7%,46600,32000,70000
MUSIC,Arts,276262,192704,116142,11155,0.054719193,5%,45000,30000,67000
DRAMA AND THEATER ARTS,Arts,174817,135071,81519,11789,0.08027373,8%,42000,29000,62000
FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,133508,107651,69303,10080,0.085618911,9%,47000,30000,70000
STUDIO ARTS,Arts,81008,58799,36943,5372,0.083713827,8%,37600,24900,58000
VISUAL AND PERFORMING ARTS,Arts,55141,41098,23479,4297,0.094658002,9%,40000,27000,59000
MISCELLANEOUS FINE ARTS,Arts,8511,6431,3802,1190,0.156147487,16%,45000,30000,60000
BIOLOGY,Biology & Life Science,839454,583079,422788,36757,0.05930117,6%,51000,35000,80000
ENVIRONMENTAL SCIENCE,Biology & Life Science,106106,87602,65238,4736,0.051289827,5%,52000,38000,75000
BIOCHEMICAL SCIENCES,Biology & Life Science,75322,52594,37103,4056,0.071597529,7%,53000,33000,82000
MICROBIOLOGY,Biology & Life Science,68885,45422,33990,2435,0.050880749,5%,60000,40000,85000
ZOOLOGY,Biology & Life Science,55395,35714,26152,1815,0.0483626,5%,55000,34000,85000
ECOLOGY,Biology & Life Science,45368,36708,25677,1888,0.048916986,5%,47500,32000,73000
PHYSIOLOGY,Biology & Life Science,43984,31394,20207,1692,0.051139455,5%,50000,30000,75000
MISCELLANEOUS BIOLOGY,Biology & Life Science,29389,22298,16508,1114,0.047582436,5%,52000,33500,72800
MOLECULAR BIOLOGY,Biology & Life Science,28197,20221,13366,1303,0.060537075,6%,45000,30000,70000
BOTANY,Biology & Life Science,14135,9284,6333,327,0.034023515,3%,50000,32000,75000
NEUROSCIENCE,Biology & Life Science,13676,8987,5446,665,0.068897638,7%,35000,28000,52000
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,6898,5527,3639,284,0.048872827,5%,53000,31500,93000
GENETICS,Biology & Life Science,6362,4747,3498,206,0.041590955,4%,48000,33000,80000
PHARMACOLOGY,Biology & Life Science,5015,3481,2579,57,0.016110797,2%,60000,35000,105000
BUSINESS MANAGEMENT AND ADMINISTRATION,Business,3123510,2354398,1939384,147261,0.058865337,6%,58000,39500,86000
GENERAL BUSINESS,Business,2148712,1580978,1304646,85626,0.051377532,5%,60000,40000,95000
ACCOUNTING,Business,1779219,1335825,1095027,75379,0.053414673,5%,65000,42500,100000
MARKETING AND MARKETING RESEARCH,Business,1114624,890125,704912,51839,0.055032889,6%,56000,38500,90000
FINANCE,Business,816548,670681,561073,34166,0.048472931,5%,65000,45000,100000
HOSPITALITY MANAGEMENT,Business,200854,163393,122499,8862,0.051446983,5%,49000,33000,70000
HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business,187274,142879,116466,9241,0.060748094,6%,54000,38000,80000
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,156673,134478,118249,6186,0.043977137,4%,72000,50000,100000
MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,102753,77471,61603,4308,0.052678561,5%,53000,36000,83000
INTERNATIONAL BUSINESS,Business,86064,66453,51012,5106,0.071353708,7%,54000,38600,80000
BUSINESS ECONOMICS,Business,75547,57983,48471,3816,0.061748572,6%,65000,45000,100000
OPERATIONS LOGISTICS AND E-COMMERCE,Business,57200,47341,41104,2141,0.043268259,4%,65000,45000,90000
ACTUARIAL SCIENCE,Business,9763,7846,6880,466,0.056063523,6%,72000,53000,115000
COMMUNICATIONS,Communications & Journalism,987676,790696,595739,54390,0.064360314,6%,50000,35000,80000
JOURNALISM,Communications & Journalism,418104,314438,235407,20754,0.061916752,6%,50000,35000,80000
MASS MEDIA,Communications & Journalism,211213,170474,125489,15431,0.08300476,8%,48000,32000,70000
ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,186829,147433,111552,10624,0.067216257,7%,50000,34000,75000
COMPUTER SCIENCE,Computers & Mathematics,783292,656372,561052,34196,0.049518657,5%,78000,51000,105000
MATHEMATICS,Computers & Mathematics,432806,280902,209838,15701,0.05293608,5%,66000,42000,100000
COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,253782,218248,189950,11945,0.051891239,5%,65000,45000,90000
INFORMATION SCIENCES,Computers & Mathematics,77805,66393,57604,3704,0.052841063,5%,68000,46200,95000
COMMUNICATION TECHNOLOGIES,Computers & Mathematics,62141,49609,37261,4609,0.085008669,9%,50000,34500,75000
COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,51771,44071,35954,2748,0.05869412,6%,55000,36000,80000
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,39362,32366,28156,2626,0.075045725,8%,55000,40000,80000
COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,29317,22828,18747,2265,0.090264217,9%,60000,40000,85000
STATISTICS AND DECISION SCIENCE,Computers & Mathematics,24806,18808,14468,1138,0.057054046,6%,70000,43000,102000
APPLIED MATHEMATICS,Computers & Mathematics,19112,15136,12109,892,0.055652608,6%,70000,47000,106000
MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,7184,5874,5039,150,0.024900398,2%,92000,53000,136000
ELEMENTARY EDUCATION,Education,1446701,819393,501786,32685,0.038359164,4%,40000,31000,50000
GENERAL EDUCATION,Education,1438867,843693,591863,38742,0.043903517,4%,43000,32000,59000
PHYSICAL AND HEALTH EDUCATION TEACHING,Education,281661,193542,136343,9389,0.046266958,5%,48400,34000,66500
ART AND MUSIC EDUCATION,Education,231861,155159,94756,6629,0.040973373,4%,42600,32000,56000
MISCELLANEOUS EDUCATION,Education,225553,126054,91322,5145,0.039215238,4%,50000,35600,71000
SECONDARY TEACHER EDUCATION,Education,224262,129486,88917,5925,0.043755677,4%,45000,34000,60000
LANGUAGE AND DRAMA EDUCATION,Education,181445,111347,67651,5624,0.048080293,5%,42000,32000,54000
EARLY CHILDHOOD EDUCATION,Education,157079,113460,71133,5890,0.049350649,5%,35300,27000,45800
SPECIAL NEEDS EDUCATION,Education,149689,108272,71615,5357,0.047144655,5%,42000,34000,53000
SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,127022,78785,51632,3800,0.046013199,5%,45000,33000,64000
TEACHER EDUCATION: MULTIPLE LEVELS,Education,88067,58885,37892,2032,0.033356863,3%,40000,30000,51000
MATHEMATICS TEACHER EDUCATION,Education,68808,47203,29494,1610,0.032983017,3%,43000,34000,60000
SCIENCE AND COMPUTER TEACHER EDUCATION,Education,56477,36224,24817,1596,0.042199894,4%,46000,35000,61000
LIBRARY SCIENCE,Education,16193,7091,4330,743,0.094842992,9%,40000,30000,55000
EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,4037,3113,2468,0,0,0%,58000,44750,79000
SCHOOL STUDENT COUNSELING,Education,2396,1492,1093,169,0.101745936,10%,41000,33200,50000
ELECTRICAL ENGINEERING,Engineering,671647,489965,422317,26064,0.050508789,5%,88000,60000,116000
MECHANICAL ENGINEERING,Engineering,581529,422207,362053,19360,0.043843856,4%,80000,59000,110000
GENERAL ENGINEERING,Engineering,503080,359172,312023,17986,0.047688237,5%,75000,50000,100000
CIVIL ENGINEERING,Engineering,358593,262831,220528,14823,0.053386589,5%,78000,55000,105000
ARCHITECTURE,Engineering,294692,216770,163020,20394,0.085991129,9%,63000,40400,93500
CHEMICAL ENGINEERING,Engineering,188046,131697,109406,6388,0.046261361,5%,86000,60000,120000
COMPUTER ENGINEERING,Engineering,154160,128742,111025,7456,0.054743829,5%,80000,60000,107000
INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,138366,101273,85014,5498,0.051493383,5%,75000,50000,101000
ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,94697,73737,64157,4572,0.058384094,6%,67000,46900,91000
INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,82142,65401,57266,3431,0.049846002,5%,70000,48000,98000
AEROSPACE ENGINEERING,Engineering,65734,44944,38491,1969,0.041971309,4%,80000,58000,110000
MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,64196,53097,46183,3401,0.060196821,6%,63000,42000,90000
MISCELLANEOUS ENGINEERING,Engineering,57006,43906,37194,2744,0.058821008,6%,70000,50000,100000
ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,47098,27275,22104,1577,0.054658256,5%,74000,50000,107000
ENGINEERING TECHNOLOGIES,Engineering,37382,30102,25651,1475,0.046711214,5%,63000,40000,93000
BIOLOGICAL ENGINEERING,Engineering,32748,24270,18621,1521,0.058974061,6%,62000,40000,91000
MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,29348,24190,21273,1101,0.043533273,4%,60000,40000,82000
MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,21430,14687,11871,933,0.059731114,6%,78000,55000,105000
ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,20582,14909,12257,683,0.043804515,4%,65000,45000,100000
PETROLEUM ENGINEERING,Engineering,19631,14002,11636,617,0.042205349,4%,125000,75000,210000
ARCHITECTURAL ENGINEERING,Engineering,19587,13713,11180,1017,0.06904277,7%,78000,50000,102000
BIOMEDICAL ENGINEERING,Engineering,18347,12876,9202,1105,0.079035834,8%,65000,40000,96000
NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,16094,10690,9226,449,0.040308825,4%,97000,60000,125000
ENVIRONMENTAL ENGINEERING,Engineering,13016,9849,8104,472,0.045732003,5%,70000,50000,95000
METALLURGICAL ENGINEERING,Engineering,12818,6939,5462,326,0.044872677,4%,96000,65000,123000
MINING AND MINERAL ENGINEERING,Engineering,10746,7416,6419,366,0.047031611,5%,92000,52000,124000
NUCLEAR ENGINEERING,Engineering,9826,7320,6474,527,0.067159424,7%,95000,65000,128000
MATERIALS SCIENCE,Engineering,7208,5866,4505,134,0.022333333,2%,75000,60000,100000
GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,6264,4120,3350,0,0,0%,85000,55000,125000
NURSING,Health,1769892,1325711,947546,36503,0.026796818,3%,62000,48000,80000
TREATMENT THERAPY PROFESSIONS,Health,252138,199174,128115,5378,0.026291603,3%,61000,40000,80000
PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,180084,124058,89234,4414,0.034357681,3%,106000,78000,125000
MEDICAL TECHNOLOGIES TECHNICIANS,Health,164990,121479,92128,4564,0.036209865,4%,60000,45000,76000
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,108510,85360,67294,5160,0.057003977,6%,50000,35000,75000
GENERAL MEDICAL AND HEALTH SERVICES,Health,104516,78198,53746,4525,0.054700627,5%,50000,35000,73000
MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,77647,52610,35676,2978,0.053572714,5%,45000,32000,62000
COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,74977,49393,26085,2407,0.046467181,5%,42000,30000,60000
NUTRITION SCIENCES,Health,64534,43878,28112,2961,0.06321655,6%,49500,34000,69000
MEDICAL ASSISTING SERVICES,Health,64316,51279,25118,1660,0.031356845,3%,55000,37000,75000
COMMUNITY AND PUBLIC HEALTH,Health,56741,42543,28912,3032,0.066527702,7%,47000,32800,70000
HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,32514,19009,13147,1431,0.070009785,7%,50000,34000,85000
ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,1098647,708882,482229,52248,0.068645304,7%,50000,32900,75000
HISTORY,Humanities & Liberal Arts,712509,478416,354163,33725,0.065851006,7%,50000,35000,80000
LIBERAL ARTS,Humanities & Liberal Arts,601221,404932,296792,29348,0.067578521,7%,50000,33000,75000
FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,236342,153654,99459,9598,0.058792542,6%,48000,33500,69000
THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,232865,164827,121606,7317,0.042505112,4%,40000,27000,56000
PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,205763,138734,95429,11252,0.075020335,8%,45000,30000,70000
ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,143087,102399,66046,8684,0.078175778,8%,43000,30000,68000
AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,103740,75798,50530,5525,0.067938959,7%,46000,32000,71000
ART HISTORY AND CRITICISM,Humanities & Liberal Arts,90852,61295,38989,4185,0.063912645,6%,44500,30000,70000
LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,75791,45657,30428,4043,0.081348089,8%,48000,30000,70000
COMPOSITION AND RHETORIC,Humanities & Liberal Arts,59211,44913,29628,3569,0.07361495,7%,40000,28800,65000
OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,57793,34696,23046,2707,0.072373874,7%,45000,30000,75000
INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,56580,43114,27499,3462,0.074330127,7%,45000,30000,69000
HUMANITIES,Humanities & Liberal Arts,46188,29971,19460,2530,0.077843759,8%,46700,30000,70000
UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,0.07349961,7%,50000,39000,81000
FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,402038,241585,154167,14273,0.055784849,6%,40500,30000,60000
PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services,350409,286683,204242,14108,0.046902999,5%,44000,30000,60000
TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,126639,98814,83519,4902,0.047263682,5%,67000,42500,98000
CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,92346,79055,65916,4257,0.051097081,5%,65000,45000,95000
COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,42325,33388,25780,1941,0.0549407,5%,40000,26200,60000
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,15726,12607,10453,692,0.052033988,5%,48000,32000,75000
MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,4315,1650,1708,187,0.101796407,10%,64000,39750,90000
MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary,45199,35706,26038,2990,0.077268968,8%,43000,32000,55000
CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,757141,613369,517599,35037,0.054035589,5%,50000,35000,74000
PRE-LAW AND LEGAL STUDIES,Law & Public Policy,67037,49259,37254,3699,0.069847804,7%,48000,34000,70000
PUBLIC ADMINISTRATION,Law & Public Policy,54636,37879,31262,2836,0.069654918,7%,56000,40000,85000
PUBLIC POLICY,Law & Public Policy,14782,11147,8196,959,0.079216917,8%,60000,38000,90000
COURT REPORTING,Law & Public Policy,9330,7270,6143,518,0.066512583,7%,50000,34000,75000
MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,427953,308461,238933,14613,0.045231124,5%,56000,38000,85000
CHEMISTRY,Physical Sciences,308062,198075,153308,11468,0.054728624,5%,59000,38700,90000
PHYSICS,Physical Sciences,122620,80797,60812,4440,0.052090055,5%,70000,40000,110000
GEOLOGY AND EARTH SCIENCE,Physical Sciences,107902,75698,59262,5272,0.065110535,7%,65000,42000,100000
ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,14051,11252,9098,429,0.036726308,4%,60000,39000,90000
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,12166,9560,7238,718,0.069857949,7%,62000,45000,80000
OCEANOGRAPHY,Physical Sciences,10741,7882,6508,449,0.053895091,5%,55000,40000,90000
PHYSICAL SCIENCES,Physical Sciences,8856,5872,4961,238,0.038952537,4%,60000,38000,89000
GEOSCIENCES,Physical Sciences,8267,6129,5020,274,0.042792441,4%,57000,36000,80000
ASTRONOMY AND ASTROPHYSICS,Physical Sciences,4700,3400,2447,320,0.086021505,9%,80000,40000,106000
PSYCHOLOGY,Psychology & Social Work,1484075,1055854,736817,79066,0.069666584,7%,45000,31000,68000
SOCIAL WORK,Psychology & Social Work,319163,225081,164020,14208,0.059375901,6%,40000,30000,53000
HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work,81786,61402,44959,4794,0.072421294,7%,38000,29000,52000
MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work,34102,23921,15688,2137,0.082009364,8%,45000,30000,70000
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work,17969,11878,8631,1084,0.08362907,8%,62000,40000,84000
COUNSELING PSYCHOLOGY,Psychology & Social Work,17633,13071,8888,954,0.06802139,7%,39000,25000,50000
EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,14041,8751,5763,716,0.07563114,8%,40000,33000,70000
SOCIAL PSYCHOLOGY,Psychology & Social Work,10871,6897,5226,660,0.087336245,9%,47000,35000,70000
CLINICAL PSYCHOLOGY,Psychology & Social Work,7638,5128,3297,587,0.102712161,10%,45000,26100,62000
ECONOMICS,Social Science,757616,535446,430580,34974,0.061312717,6%,69000,42000,110000
POLITICAL SCIENCE AND GOVERNMENT,Social Science,748956,541630,421761,40376,0.069373855,7%,58000,38000,90000
SOCIOLOGY,Social Science,674558,459174,336515,32344,0.065804304,7%,47000,33000,70000
GENERAL SOCIAL SCIENCES,Social Science,127363,80165,57036,6132,0.071056931,7%,50000,35000,75000
GEOGRAPHY,Social Science,115423,83671,63070,6202,0.06900849,7%,54000,38300,78000
INTERNATIONAL RELATIONS,Social Science,77371,56564,42091,4278,0.07031327,7%,55000,40000,89000
CRIMINOLOGY,Social Science,75085,59534,48763,4106,0.06451917,6%,49000,35000,72000
INTERDISCIPLINARY SOCIAL SCIENCES,Social Science,61871,43312,31078,3030,0.065383453,7%,45000,33000,67000
MISCELLANEOUS SOCIAL SCIENCES,Social Science,15882,12307,9444,708,0.054398771,5%,52000,40000,80000
